-7.000000000000000000e+01,-7.000000000000000000e+01,-7.000000000000000000e+01,-7.000000000000000000e+01,-7.000000000000000000e+01,-7.000000000000000000e+01,-7.000000000000000000e+01
-7.004734802246093750e+01,-7.004734802246093750e+01,-7.004734802246093750e+01,-7.004734802246093750e+01,-7.004734802246093750e+01,-7.004734802246093750e+01,-7.004734802246093750e+01
-7.008015441894531250e+01,-7.008015441894531250e+01,-7.008015441894531250e+01,-7.008015441894531250e+01,-7.008015441894531250e+01,-7.008015441894531250e+01,-7.008015441894531250e+01
-7.010880279541015625e+01,-7.010880279541015625e+01,-7.010880279541015625e+01,-7.010880279541015625e+01,-7.010880279541015625e+01,-7.010880279541015625e+01,-7.010880279541015625e+01
-7.013440704345703125e+01,-7.013440704345703125e+01,-7.013440704345703125e+01,-7.013440704345703125e+01,-7.013440704345703125e+01,-7.013440704345703125e+01,-7.013440704345703125e+01
-7.015740203857421875e+01,-7.015740203857421875e+01,-7.015740203857421875e+01,-7.015740203857421875e+01,-7.015740203857421875e+01,-7.015740203857421875e+01,-7.015740203857421875e+01
-7.017808532714843750e+01,-7.017808532714843750e+01,-7.017808532714843750e+01,-7.017808532714843750e+01,-7.017808532714843750e+01,-7.017808532714843750e+01,-7.017808532714843750e+01
-7.019671630859375000e+01,-7.019671630859375000e+01,-7.019671630859375000e+01,-7.019671630859375000e+01,-7.019671630859375000e+01,-7.019671630859375000e+01,-7.019671630859375000e+01
-7.021352386474609375e+01,-7.021352386474609375e+01,-7.021352386474609375e+01,-7.021352386474609375e+01,-7.021352386474609375e+01,-7.021352386474609375e+01,-7.021352386474609375e+01
-7.022868347167968750e+01,-7.022868347167968750e+01,-7.022868347167968750e+01,-7.022868347167968750e+01,-7.022868347167968750e+01,-7.022868347167968750e+01,-7.022868347167968750e+01
-7.024237060546875000e+01,-7.024237060546875000e+01,-7.024237060546875000e+01,-7.024237060546875000e+01,-7.024237060546875000e+01,-7.024237060546875000e+01,-7.024237060546875000e+01
-7.025473785400390625e+01,-7.025473785400390625e+01,-7.025473785400390625e+01,-7.025473785400390625e+01,-7.025473785400390625e+01,-7.025473785400390625e+01,-7.025473785400390625e+01
-7.026592254638671875e+01,-7.026592254638671875e+01,-7.026592254638671875e+01,-7.026592254638671875e+01,-7.026592254638671875e+01,-7.026592254638671875e+01,-7.026592254638671875e+01
-7.027603912353515625e+01,-7.027603912353515625e+01,-7.027603912353515625e+01,-7.027603912353515625e+01,-7.027603912353515625e+01,-7.027603912353515625e+01,-7.027603912353515625e+01
-7.028519439697265625e+01,-7.028519439697265625e+01,-7.028519439697265625e+01,-7.028519439697265625e+01,-7.028519439697265625e+01,-7.028519439697265625e+01,-7.028519439697265625e+01
-7.029348754882812500e+01,-7.029348754882812500e+01,-7.029348754882812500e+01,-7.029348754882812500e+01,-7.029348754882812500e+01,-7.029348754882812500e+01,-7.029348754882812500e+01
-7.030100250244140625e+01,-7.030100250244140625e+01,-7.030100250244140625e+01,-7.030100250244140625e+01,-7.030100250244140625e+01,-7.030100250244140625e+01,-7.030100250244140625e+01
